station_id,datetime,value
22,2023-08-16 14:00:10.122000,-0.69
22,2023-08-16 14:00:10.296000,-0.69
22,2023-08-16 14:15:11.907000,-0.69
22,2023-08-16 14:15:36.376000,-0.69
22,2023-08-16 14:30:15.882000,-0.69
22,2023-08-16 14:30:19.603000,-0.69
22,2023-08-16 14:45:10.793000,-0.69
22,2023-08-16 14:45:11.254000,-0.69
22,2023-08-16 15:00:10.041000,-0.69
22,2023-08-16 15:00:11.235000,-0.69
22,2023-08-16 15:15:10.006000,-0.7
22,2023-08-16 15:15:13.118000,-0.7
22,2023-08-16 15:30:10.257000,-0.69
22,2023-08-16 15:30:10.298000,-0.69
22,2023-08-16 15:45:10.005000,-0.56
22,2023-08-16 15:45:10.068000,-0.56
22,2023-08-16 16:15:11.734000,-0.54
22,2023-08-16 16:15:12.009000,-0.54
22,2023-08-16 16:30:32.281000,-0.53
22,2023-08-16 16:30:34.424000,-0.53
22,2023-08-16 17:45:10.349000,-0.7
22,2023-08-16 17:45:14.819000,-0.7
22,2023-08-16 18:15:10.006000,-0.7
22,2023-08-16 18:15:11.640000,-0.7
22,2023-08-16 18:30:10.345000,-0.55
22,2023-08-16 18:30:11.301000,-0.55
22,2023-08-16 19:00:10.881000,-0.7
22,2023-08-16 19:00:11.048000,-0.7
22,2023-08-16 19:15:13.316000,-0.7
22,2023-08-16 19:15:13.322000,-0.7
22,2023-08-16 19:30:12.653000,-0.7
22,2023-08-16 19:30:13.930000,-0.7
22,2023-08-16 20:00:14.446000,-0.7
22,2023-08-16 20:00:14.447000,-0.7
22,2023-08-16 20:15:15.765000,-0.7
22,2023-08-16 20:15:16.605000,-0.7
22,2023-08-16 20:45:14.373000,-0.7
22,2023-08-16 20:45:15.284000,-0.7
22,2023-08-16 21:00:10.056000,-0.52
22,2023-08-16 21:00:12.315000,-0.52
22,2023-08-16 21:15:12.338000,-0.7
22,2023-08-16 21:15:12.339000,-0.7
22,2023-08-16 21:30:10.030000,-0.7
22,2023-08-16 21:30:12.172000,-0.7
22,2023-08-16 21:45:11.021000,-0.52
22,2023-08-16 21:45:11.383000,-0.52
22,2023-08-16 22:00:16.111000,-0.7
22,2023-08-16 22:00:16.204000,-0.7
22,2023-08-16 22:15:10.005000,-0.7
22,2023-08-16 22:15:11.836000,-0.7
22,2023-08-16 22:30:10.066000,-0.57
22,2023-08-16 22:30:13.120000,-0.57
22,2023-08-16 23:15:12.045000,-0.7
22,2023-08-16 23:15:12.177000,-0.7
22,2023-08-16 23:30:10.007000,-0.64
22,2023-08-16 23:30:11.487000,-0.64
22,2023-08-16 23:45:10.006000,-0.6
22,2023-08-16 23:45:10.639000,-0.6
22,2023-08-17 00:00:11.565000,-0.7
22,2023-08-17 00:00:11.869000,-0.7
22,2023-08-17 00:15:10.043000,-0.64
22,2023-08-17 00:15:10.044000,-0.64
22,2023-08-17 00:30:11.257000,-0.7
22,2023-08-17 00:30:11.315000,-0.7
22,2023-08-17 00:45:10.007000,-0.57
22,2023-08-17 00:45:10.007000,-0.57
22,2023-08-17 01:00:18.398000,-0.56
22,2023-08-17 01:00:18.461000,-0.56
22,2023-08-17 01:15:10.005000,-0.7
22,2023-08-17 01:15:10.009000,-0.7
22,2023-08-17 01:45:26.891000,-0.7
22,2023-08-17 02:15:10.207000,-0.7
22,2023-08-17 02:15:13.304000,-0.7
22,2023-08-17 03:00:10.810000,-0.7
22,2023-08-17 03:00:11.285000,-0.7
22,2023-08-17 03:15:12.127000,-0.7
22,2023-08-17 03:15:12.663000,-0.7
22,2023-08-17 03:30:10.701000,-0.57
22,2023-08-17 03:30:10.971000,-0.57
22,2023-08-17 03:45:10.009000,-0.55
22,2023-08-17 03:45:10.010000,-0.55
22,2023-08-17 04:00:10.707000,-0.7
22,2023-08-17 04:00:11.780000,-0.7
22,2023-08-17 04:15:10.006000,-0.7
22,2023-08-17 04:15:10.101000,-0.7
22,2023-08-17 04:30:12.447000,-0.52
22,2023-08-17 04:30:14.112000,-0.52
22,2023-08-17 05:00:10.115000,-0.7
22,2023-08-17 05:00:13.119000,-0.7
22,2023-08-17 05:15:10.069000,-0.7
22,2023-08-17 05:15:10.070000,-0.7
22,2023-08-17 05:30:10.073000,-0.7
22,2023-08-17 05:30:13.679000,-0.7
22,2023-08-17 06:00:10.116000,-0.7
22,2023-08-17 06:00:10.822000,-0.7
22,2023-08-17 06:15:10.007000,-0.7
22,2023-08-17 06:15:11.707000,-0.7
22,2023-08-17 06:45:11.126000,-0.7
22,2023-08-17 06:45:11.126000,-0.7
22,2023-08-17 07:00:11.988000,-0.57
22,2023-08-17 07:00:13.394000,-0.57
22,2023-08-17 07:15:11.088000,-0.7
22,2023-08-17 07:15:11.422000,-0.7
22,2023-08-17 07:30:14.549000,-0.51
22,2023-08-17 07:30:17.909000,-0.51
22,2023-08-17 07:45:11.022000,-0.7
22,2023-08-17 07:45:11.093000,-0.7
22,2023-08-17 08:15:10.008000,-0.7
22,2023-08-17 08:15:40.254000,-0.7
22,2023-08-17 08:30:10.288000,-0.7
22,2023-08-17 08:30:10.707000,-0.7
22,2023-08-17 09:30:11.869000,-0.7
22,2023-08-17 09:30:12.392000,-0.7
22,2023-08-17 09:45:14.367000,-0.61
22,2023-08-17 09:45:14.669000,-0.61
22,2023-08-17 10:00:10.009000,-0.7
22,2023-08-17 10:00:10.455000,-0.7
22,2023-08-17 10:30:10.800000,-0.7
22,2023-08-17 10:30:11.672000,-0.7
22,2023-08-17 10:45:10.102000,-0.7
22,2023-08-17 10:45:12.790000,-0.7
22,2023-08-17 11:00:13.086000,-0.7
22,2023-08-17 11:00:17.070000,-0.7
22,2023-08-17 11:15:13.373000,-0.7
22,2023-08-17 11:15:14.892000,-0.7
22,2023-08-17 11:30:10.066000,-0.7
22,2023-08-17 11:30:11.193000,-0.7
22,2023-08-17 11:45:10.413000,-0.7
22,2023-08-17 11:45:10.837000,-0.7
22,2023-08-17 12:00:12.048000,-0.7
22,2023-08-17 12:00:12.841000,-0.7
22,2023-08-17 12:15:11.797000,-0.7
22,2023-08-17 12:15:12.102000,-0.7
22,2023-08-17 13:00:10.579000,-0.7
22,2023-08-17 13:00:11.977000,-0.7
22,2023-08-17 13:15:17.204000,-0.7
22,2023-08-17 13:15:31.309000,-0.7
22,2023-08-17 13:45:10.275000,-0.7
22,2023-08-17 13:45:10.460000,-0.7
22,2023-08-17 14:00:12.759000,-0.7
22,2023-08-17 14:00:13.916000,-0.7
22,2023-08-17 14:15:11.996000,-0.7
22,2023-08-17 14:15:12.432000,-0.7
22,2023-08-17 14:45:10.312000,-0.7
22,2023-08-17 14:45:11.884000,-0.7
22,2023-08-17 15:00:10.032000,-0.7
22,2023-08-17 15:00:11.747000,-0.7
22,2023-08-17 15:15:10.345000,-0.7
22,2023-08-17 15:15:10.856000,-0.7
22,2023-08-17 15:30:10.059000,-0.7
22,2023-08-17 15:30:11.478000,-0.7
22,2023-08-17 15:45:10.005000,-0.7
22,2023-08-17 15:45:10.219000,-0.7
22,2023-08-17 16:15:10.573000,-0.7
22,2023-08-17 16:15:10.636000,-0.7
22,2023-08-17 16:45:10.555000,-0.7
22,2023-08-17 16:45:11.252000,-0.7
22,2023-08-17 17:15:10.853000,-0.7
22,2023-08-17 17:15:10.855000,-0.7
22,2023-08-17 17:30:10.553000,-0.7
22,2023-08-17 17:30:10.993000,-0.7
22,2023-08-17 17:45:10.005000,-0.7
22,2023-08-17 17:45:11.113000,-0.7
22,2023-08-17 18:00:10.008000,-0.7
22,2023-08-17 18:00:13.604000,-0.7
22,2023-08-17 18:15:11.112000,-0.7
22,2023-08-17 18:15:13.792000,-0.7
22,2023-08-17 18:30:23.157000,-0.7
22,2023-08-17 18:30:25.179000,-0.7
22,2023-08-17 18:45:10.506000,-0.7
22,2023-08-17 18:45:10.570000,-0.7
22,2023-08-17 19:00:11.812000,-0.7
22,2023-08-17 19:00:12.085000,-0.7
22,2023-08-17 19:15:15.786000,-0.7
22,2023-08-17 19:15:15.888000,-0.7
